sample_idx,text,speaker,gender,age,expert_accuracy,expert_fluency,expert_completeness,expert_prosodic,azure_accuracy,azure_fluency,azure_completeness,azure_prosodic,diff_accuracy,diff_fluency,diff_completeness,diff_prosodic,assessment_time,recognized_text
0,MARK IS GOING TO SEE ELEPHANT,0003,m,6,9,9,10.0,9,10.0,10.0,10.0,10.0,1.0,1.0,0.0,1.0,3.311048984527588,Mark is going to see Elephant.
1,KATE LOVES CHINA,0003,m,6,7,9,10.0,9,8.7,9.9,10.0,9.9,1.6999999999999993,0.9000000000000004,0.0,0.9000000000000004,2.841229200363159,Kate loves China.
2,TWO SIX FOUR EIGHT,0003,m,6,9,9,10.0,9,9.9,10.0,10.0,10.0,0.9000000000000004,1.0,0.0,1.0,2.75607967376709,2648.
3,SEVEN THREE FOUR TWO,0003,m,6,8,9,10.0,8,9.6,10.0,10.0,10.0,1.5999999999999996,1.0,0.0,2.0,3.328554630279541,7342.
4,TWO EIGHT NINE ONE,0003,m,6,9,9,10.0,9,9.8,10.0,10.0,10.0,0.8000000000000007,1.0,0.0,1.0,2.8411037921905518,2891.
5,ONE ZERO ONE ZERO,0003,m,6,7,10,10.0,9,8.5,10.0,10.0,10.0,1.5,0.0,0.0,1.0,2.8352036476135254,1010.
6,TWO FIVE NINE NINE,0003,m,6,8,9,10.0,9,9.8,10.0,10.0,10.0,1.8000000000000007,1.0,0.0,1.0,3.1330301761627197,2599.
7,TOMATO SPRING PHOTO,0003,m,6,8,9,10.0,8,8.8,9.9,10.0,9.9,0.8000000000000007,0.9000000000000004,0.0,1.9000000000000004,2.972313642501831,Tomato spring photo.
8,LAYLA IS GOOD AT SWIMMING,0003,m,6,8,9,10.0,8,8.6,9.7,10.0,9.7,0.5999999999999996,0.6999999999999993,0.0,1.6999999999999993,4.403403997421265,Layla is good at swimming.
9,ALICE GIVE UP BOXING,0003,m,6,9,9,10.0,9,9.399999999999999,10.0,10.0,10.0,0.3999999999999986,1.0,0.0,1.0,3.130533218383789,"Alice, give up boxing."
10,LAYLA WANTS HAVE SOME SALAD,0003,m,6,8,9,10.0,8,8.7,10.0,10.0,10.0,0.6999999999999993,1.0,0.0,2.0,3.0288166999816895,Layla wants have some salad.
11,DOES HE KNOW THE BISCUIT,0003,m,6,9,9,10.0,8,9.6,10.0,10.0,10.0,0.5999999999999996,1.0,0.0,2.0,3.199955701828003,Does he know the biscuit?
12,HERE IS TIME'S CLOTH,0003,m,6,7,9,10.0,8,9.0,10.0,10.0,10.0,2.0,1.0,0.0,2.0,4.049103736877441,Here is Time's cloth.
13,LOOK AT BOB'S T SHIRT,0003,m,6,9,10,10.0,9,9.6,10.0,10.0,10.0,0.5999999999999996,0.0,0.0,1.0,4.250227212905884,Look at Bob's T-shirt.
14,SO BILLY WENT INTO THE PET SHOP,0003,m,6,9,9,10.0,9,9.399999999999999,10.0,10.0,10.0,0.3999999999999986,1.0,0.0,1.0,2.9500529766082764,So Billy went into the pet shop.
15,SO TINA WENT INTO THE WASHROOM,0003,m,6,9,9,10.0,9,9.5,10.0,10.0,10.0,0.5,1.0,0.0,1.0,2.9223148822784424,So Tina went into the washroom.
16,BILLY LIVED IN NEW YORK,0003,m,6,8,9,10.0,9,9.7,10.0,10.0,10.0,1.6999999999999993,1.0,0.0,1.0,2.962198495864868,Billy lived in New York.
